output,output_family,parameter,screened,current_status,classification,classification_reason,mu_star,sigma,n_valid,n_lost,mean_snr,mu_star_q25,mu_star_median,mu_star_q75,sigma_q25,sigma_median,sigma_q75
"abc_target_01_jnkp_s480_stat","jnk","dieProbFN",true,"fixed","D","mu-star and sigma at/below output medians",0.124823368493,0.192264967710,17,3,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","dieProbFP",true,"fixed","D","mu-star and sigma at/below output medians",0.0823812455818,0.117956384989,20,0,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","divProbMN",true,"fixed","D","mu-star and sigma at/below output medians",0.0943658279501,0.179987503780,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","dieProbMN",true,"fixed","D","mu-star and sigma at/below output medians",0.115206032548,0.179855998531,20,0,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","divProbMP",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.181625675165,0.265787446276,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","dieProbMP",true,"fixed","D","mu-star and sigma at/below output medians",0.113869322283,0.170356433145,16,4,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","migrProbM",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.223654712486,0.341567637809,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","dieProbEN",true,"fixed","C","sigma at/above output Q75 while mu-star below Q75",0.159273205777,0.280247288046,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","divProbEP",true,"fixed","B","mu-star at/above output Q75 and sigma at/above median",0.215606266669,0.309356154428,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","dieProbEP",true,"fixed","D","mu-star and sigma at/below output medians",0.0830307540216,0.0984025771980,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","deactProbE",true,"fixed","C","intermediate mu-star with above-median variability",0.116042677001,0.200019920309,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","dieProbL",true,"fixed","C","intermediate mu-star with above-median variability",0.149663277103,0.212348920870,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","macrophageDaughterActivationBoost",true,"hard-coded","C","intermediate mu-star with above-median variability",0.0831180189989,0.218682178715,19,1,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","endothelialDaughterDivisionBoost",true,"hard-coded","D","mu-star and sigma at/below output medians",0.0399147029811,0.117484401912,18,2,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","fibroblastSignalBoost",true,"hard-coded","D","mu-star and sigma at/below output medians",0.110855350980,0.177451112513,20,0,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
"abc_target_01_jnkp_s480_stat","jnk","fibroblastSignalCap",true,"hard-coded","D","mu-star and sigma at/below output medians",0.0482992378313,0.106964006109,20,0,,0.0943658279501,0.124823368493,0.181625675165,0.159241106569,0.192268170063,0.269435173749
