output,output_family,rank_in_output,parameter,mu_signed,mu_star,sigma,sigma_to_mustar,n_valid_ee,valid_fraction,n_lost,lost_fraction,mean_snr,normalized_mu_star,positive_fraction,negative_fraction,effect_character,current_status,fixed_or_inferred,in_abc12
abc_target_01_jnkp_s480_stat,jnk,9,endothelialMacrophageRadius,-0.0332590922303,0.121394900748,0.18229251656,1.5016488784682607,19,0.95,1,0.050000000000000044,0.618554507916,0.387716789201,0.421052631579,0.578947368421,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_01_jnkp_s480_stat,jnk,10,divProbP,0.0395535536282,0.0995629136447,0.133244894651,1.3382984665002617,20,1.0,0,0.0,0.980602557303,0.317988753762,0.55,0.4,strong nonlinearity/interaction-dependent; sign-varying,ABC-inferred,inferred,True
abc_target_02_jnkp_s1440_standardized_residual,jnk,1,pOffMax,-2.39848935598,2.39848935598,1.45545811751,0.6068228378338222,18,0.9,2,0.09999999999999998,5.5044278428,1.64075921774,0.0,1.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_02_jnkp_s1440_standardized_residual,jnk,2,dieProbL,-1.63312929197,2.02656386881,1.92852241512,0.9516218288508371,17,0.85,3,0.15000000000000002,5.94634860131,1.38633233447,0.176470588235,0.823529411765,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,3,stressStrength,1.65530346487,1.70856395196,1.88085696983,1.1008408363481812,15,0.75,5,0.25,5.30732260394,1.16879486927,0.866666666667,0.133333333333,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,4,pOnMax,1.47236253304,1.47236253304,1.04164802891,0.7074670847262733,17,0.85,3,0.15000000000000002,5.23594803917,1.00721414165,1.0,0.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
abc_target_02_jnkp_s1440_standardized_residual,jnk,5,lambdaCAF,1.16135468543,1.20122615296,1.18900928465,0.989829668393503,17,0.85,3,0.15000000000000002,4.34487954432,0.821735096776,0.823529411765,0.117647058824,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,6,lambdaStress,1.11807850046,1.19942823389,1.4029513154,1.169683417281192,16,0.8,4,0.19999999999999996,4.88212436419,0.820505175834,0.6875,0.125,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,7,divProbFN,0.904228533897,1.03443686723,1.18601437581,1.1465314253405257,16,0.8,4,0.19999999999999996,2.15164529246,0.707637839143,0.875,0.0625,strong nonlinearity/interaction-dependent,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,8,dieProbFN,-0.759083069119,0.929326730998,0.806652604863,0.8679967743925101,16,0.8,4,0.19999999999999996,2.66778665151,0.635734070018,0.125,0.875,moderate nonlinearity/interaction,fixed,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,9,initialLungCount,0.164983745458,0.855345056927,1.4574345694,1.7039141777894038,17,0.85,3,0.15000000000000002,2.04751904695,0.585124667323,0.647058823529,0.294117647059,strong nonlinearity/interaction-dependent; sign-varying,hard-coded,fixed,False
abc_target_02_jnkp_s1440_standardized_residual,jnk,10,dieProbP,0.422522979586,0.824874590643,2.09747133779,2.5427760311479535,18,0.9,2,0.09999999999999998,0.685452312353,0.564280422883,0.388888888889,0.611111111111,strong nonlinearity/interaction-dependent; sign-varying,ABC-inferred,inferred,True
abc_target_02_jnkp_s1440_stat,jnk,1,pOffMax,-0.479697871197,0.479697871197,0.291091623503,0.6068228378346417,18,0.9,2,0.09999999999999998,5.5044278428,1.64075921774,0.0,1.0,moderate nonlinearity/interaction,ABC-inferred,inferred,True
